authority_code,authority_name,longitude,latitude
W06000009,Pembrokeshire,-4.90818,51.8551
W06000010,Carmarthenshire,-4.2111,51.895
W06000011,Swansea,-3.96723,51.6581
W06000012,Neath Port Talbot,-3.74638,51.6445
W06000013,Bridgend,-3.61375,51.5606
W06000014,Vale of Glamorgan,-3.39801,51.4484
W06000015,Cardiff,-3.22209,51.5025
W06000016,Rhondda Cynon Taf,-3.41359,51.6218
W06000018,Caerphilly,-3.19753,51.65
W06000019,Blaenau Gwent,-3.18592,51.7536
W06000020,Torfaen,-3.05101,51.6984
W06000021,Monmouthshire,-2.9028,51.7783
W06000022,Newport,-2.89769,51.5823
W06000023,Powys,-3.43531,52.3486
W06000024,Merthyr Tydfil,-3.36425,51.7486
